iter	RMSE
0	2.301472652
1	2.260857433
2	2.225066574
3	2.193176521
4	2.164957037
5	2.141295233
6	2.121076416
7	2.102333157
8	2.085804586
9	2.071480287
10	2.059253811
11	2.04828066
12	2.038321883
13	2.029947274
14	2.022275146
15	2.016238134
16	2.010513513
17	2.006056301
18	2.001564959
19	1.997519724
20	1.994147451
21	1.990932512
22	1.987997618
23	1.985298774
24	1.982831413
25	1.98067112
26	1.978684459
27	1.976955257
28	1.975226375
29	1.973525015
30	1.97222468
31	1.971170603
32	1.969962578
33	1.969018021
34	1.967874528
35	1.966902004
36	1.965987868
37	1.964763441
38	1.963910636
39	1.96318254
40	1.962341193
41	1.961863311
42	1.961371864
43	1.96072052
44	1.960059477
45	1.959531537
46	1.959003758
47	1.95853211
48	1.958125638
49	1.957626959
50	1.957255313
51	1.956697629
52	1.956045743
53	1.955570824
54	1.955140037
55	1.954524558
56	1.954308402
57	1.953930226
58	1.953458867
59	1.953252217
60	1.95271594
61	1.952563489
62	1.952233604
63	1.951780656
64	1.95141139
65	1.951294374
66	1.950981974
67	1.95060323
68	1.950124541
69	1.949749233
70	1.949266735
71	1.949006484
72	1.948861433
73	1.948537068
74	1.948172696
75	1.947964932
76	1.94762426
77	1.947177518
78	1.94697931
79	1.946527994
80	1.94638791
81	1.94591515
82	1.945669141
83	1.945467645
84	1.944952102
85	1.944507204
86	1.943935952
87	1.943467928
88	1.943375564
89	1.94325761
90	1.942859181
91	1.942468813
92	1.942211757
93	1.94171638
94	1.941519388
95	1.941139705
96	1.940796421
97	1.940330393
98	1.940201098
99	1.939604654
100	1.939345389
101	1.939041018
102	1.938694315
103	1.9384962
104	1.938052308
105	1.937672597
106	1.937480752
107	1.936998956
108	1.936778286
109	1.93644642
110	1.936342391
111	1.935811632
112	1.93567816
113	1.935539893
114	1.935202896
115	1.93486043
116	1.934520871
117	1.934209559
118	1.934097607
119	1.933985148
120	1.933572995
121	1.933283142
122	1.933067246
123	1.932628551
124	1.932341984
125	1.931734115
126	1.931256568
127	1.930950558
128	1.9308121
129	1.930675736
130	1.930254014
131	1.929925071
132	1.929611542
133	1.929103488
134	1.928890519
135	1.92873595
136	1.92819592
137	1.928166035
138	1.92786851
139	1.927303849
140	1.927021252
141	1.92653692
142	1.926159999
143	1.926075659
144	1.925737477
145	1.925339781
146	1.925086491
147	1.924794883
148	1.924397432
149	1.924152663
150	1.923842846
151	1.923530427
152	1.922905206
153	1.922817275
154	1.922542747
155	1.922301009
156	1.921911954
157	1.921560128
158	1.921241187
159	1.920816653
160	1.920466284
