iter	Passed	Remaining
0	8	8937
1	16	8246
2	25	8320
3	33	8328
4	41	8277
5	49	8193
6	57	8163
7	65	8091
8	73	8044
9	80	7992
10	88	7922
11	95	7885
12	103	7843
13	110	7786
14	118	7754
15	125	7735
16	133	7715
17	140	7677
18	147	7638
19	155	7618
20	163	7625
21	171	7643
22	181	7700
23	189	7690
24	196	7680
25	205	7703
26	213	7684
27	221	7699
28	229	7698
29	238	7702
30	246	7698
31	253	7664
32	260	7631
33	267	7610
34	275	7602
35	282	7565
36	289	7547
37	297	7531
38	304	7510
39	312	7501
40	320	7492
41	328	7490
42	335	7470
43	343	7454
44	350	7435
45	357	7409
46	364	7397
47	372	7395
48	380	7380
49	387	7356
50	394	7348
51	402	7346
52	409	7315
53	416	7293
54	423	7273
55	430	7257
56	436	7227
57	444	7212
58	451	7201
59	457	7172
60	465	7168
61	472	7146
62	479	7127
63	486	7121
64	494	7113
65	501	7089
66	507	7070
67	514	7058
68	521	7033
69	527	7008
70	534	6990
71	541	6975
72	547	6957
73	554	6936
74	561	6926
75	567	6902
76	575	6893
77	582	6879
78	588	6860
79	595	6845
80	602	6830
81	608	6811
82	615	6801
83	621	6782
84	629	6777
85	636	6766
86	644	6759
87	651	6747
88	657	6730
89	664	6714
90	670	6702
91	677	6689
92	684	6678
93	691	6663
94	698	6651
95	704	6638
96	712	6633
97	719	6623
98	727	6620
99	734	6606
100	740	6591
101	747	6583
102	755	6577
103	761	6563
104	768	6551
105	775	6543
106	782	6531
107	789	6524
108	796	6508
109	802	6494
110	809	6485
111	816	6475
112	823	6463
113	830	6455
114	837	6443
115	844	6436
116	851	6428
117	857	6413
118	864	6401
119	870	6384
120	878	6383
121	885	6375
122	892	6364
123	899	6352
124	906	6344
125	913	6334
126	920	6326
127	926	6314
128	933	6301
129	940	6292
130	947	6283
131	953	6271
132	961	6267
133	968	6260
134	975	6251
135	982	6241
136	988	6229
137	994	6213
138	1000	6200
139	1007	6187
140	1014	6179
141	1020	6168
142	1027	6160
143	1034	6149
144	1041	6140
145	1048	6131
146	1055	6126
147	1062	6117
148	1069	6108
149	1075	6097
150	1083	6090
151	1090	6081
152	1096	6071
153	1102	6057
154	1109	6047
155	1115	6036
156	1123	6030
157	1130	6021
158	1136	6011
159	1142	5999
160	1149	5989
161	1155	5977
162	1162	5967
163	1169	5959
164	1175	5948
165	1182	5941
166	1189	5932
167	1195	5922
168	1202	5910
169	1208	5899
170	1214	5887
171	1220	5876
172	1227	5868
173	1234	5860
174	1241	5852
175	1248	5844
176	1255	5835
177	1261	5826
178	1268	5816
179	1274	5806
180	1281	5797
181	1287	5787
182	1292	5771
183	1298	5759
184	1305	5750
185	1312	5743
186	1318	5733
187	1325	5723
188	1331	5713
189	1338	5705
190	1344	5693
191	1350	5683
192	1357	5676
193	1364	5668
194	1371	5662
195	1379	5657
196	1387	5653
197	1394	5647
198	1401	5639
199	1408	5635
200	1415	5626
201	1421	5617
202	1429	5610
203	1436	5605
204	1443	5598
205	1450	5592
206	1457	5584
207	1464	5577
208	1472	5572
209	1479	5567
210	1485	5556
211	1492	5548
212	1500	5542
213	1506	5534
214	1513	5526
215	1519	5516
216	1526	5508
217	1533	5500
218	1539	5491
219	1546	5484
220	1553	5475
221	1560	5467
222	1566	5458
223	1572	5448
224	1578	5438
225	1586	5433
226	1593	5424
227	1600	5419
228	1607	5410
229	1613	5401
230	1620	5393
231	1627	5387
232	1634	5380
233	1640	5371
234	1648	5364
235	1654	5356
236	1660	5346
237	1667	5338
238	1675	5334
239	1682	5327
240	1688	5317
241	1694	5307
242	1701	5299
243	1707	5289
244	1713	5281
245	1720	5273
246	1727	5266
247	1733	5257
248	1741	5251
249	1747	5243
250	1752	5230
251	1759	5221
252	1766	5214
253	1773	5209
254	1780	5203
255	1788	5196
256	1794	5187
257	1801	5182
258	1808	5175
259	1815	5168
260	1822	5159
261	1829	5152
262	1834	5141
263	1841	5133
264	1848	5126
265	1855	5119
266	1861	5109
267	1868	5102
268	1874	5095
269	1881	5087
270	1887	5078
271	1895	5072
272	1901	5064
273	1908	5056
274	1915	5049
275	1921	5040
276	1927	5031
277	1934	5024
278	1941	5018
279	1948	5010
280	1955	5004
281	1962	4996
282	1968	4987
283	1975	4979
284	1982	4972
285	1988	4964
286	1995	4956
287	2002	4949
288	2009	4943
289	2015	4935
290	2022	4928
291	2029	4921
292	2036	4912
293	2042	4904
294	2049	4897
295	2055	4887
296	2061	4880
297	2068	4873
298	2075	4865
299	2081	4857
300	2088	4850
301	2096	4844
302	2102	4837
303	2109	4830
304	2116	4821
305	2122	4814
306	2128	4805
307	2135	4798
308	2141	4789
309	2148	4782
310	2155	4774
311	2161	4767
312	2168	4759
313	2175	4753
314	2181	4744
315	2188	4737
316	2195	4730
317	2203	4725
318	2209	4717
319	2217	4711
320	2223	4704
321	2230	4696
322	2237	4689
323	2244	4682
324	2250	4674
325	2256	4665
326	2263	4658
327	2270	4652
328	2277	4644
329	2284	4638
330	2291	4631
331	2299	4625
332	2305	4618
333	2312	4610
334	2319	4603
335	2326	4597
336	2332	4589
337	2340	4584
338	2347	4576
339	2355	4571
340	2362	4565
341	2369	4559
342	2377	4553
343	2383	4545
344	2391	4541
345	2399	4534
346	2406	4527
347	2412	4519
348	2420	4514
349	2427	4507
350	2434	4501
351	2441	4494
352	2448	4486
353	2455	4480
354	2462	4473
355	2468	4465
356	2475	4458
357	2482	4451
358	2489	4444
359	2496	4437
360	2502	4429
361	2508	4421
362	2516	4415
363	2522	4407
364	2528	4399
365	2536	4393
366	2542	4385
367	2549	4378
368	2555	4370
369	2562	4364
370	2569	4356
371	2575	4348
372	2583	4342
373	2590	4336
374	2597	4329
375	2604	4322
376	2611	4314
377	2618	4308
378	2625	4301
379	2632	4295
380	2639	4288
381	2645	4280
382	2652	4273
383	2659	4265
384	2665	4257
385	2671	4250
386	2679	4243
387	2685	4236
388	2692	4229
389	2700	4223
390	2706	4216
391	2713	4209
392	2720	4201
393	2726	4194
394	2732	4185
395	2740	4179
396	2747	4173
397	2754	4166
398	2760	4158
399	2767	4151
400	2775	4145
401	2782	4139
402	2789	4132
403	2796	4124
404	2802	4117
405	2809	4110
406	2816	4103
407	2822	4094
408	2828	4087
409	2836	4081
410	2843	4075
411	2849	4067
412	2856	4059
413	2863	4052
414	2869	4045
415	2876	4038
416	2883	4031
417	2890	4025
418	2896	4016
419	2903	4008
420	2909	4001
421	2917	3995
422	2923	3988
423	2930	3981
424	2937	3974
425	2944	3967
426	2951	3961
427	2959	3954
428	2965	3947
429	2972	3940
430	2979	3933
431	2985	3925
432	2992	3918
433	2998	3910
434	3005	3903
435	3011	3895
436	3017	3887
437	3024	3881
438	3031	3873
439	3037	3865
440	3043	3858
441	3050	3851
442	3057	3843
443	3064	3836
444	3070	3830
445	3079	3824
446	3085	3817
447	3091	3809
448	3097	3800
449	3102	3792
450	3109	3784
451	3115	3777
452	3122	3770
453	3127	3761
454	3134	3754
455	3141	3747
456	3147	3740
457	3154	3732
458	3161	3726
459	3167	3718
460	3174	3711
461	3181	3704
462	3187	3697
463	3194	3690
464	3201	3683
465	3208	3676
466	3215	3669
467	3221	3662
468	3228	3654
469	3235	3648
470	3241	3640
471	3248	3633
472	3255	3627
473	3262	3620
474	3268	3612
475	3275	3605
476	3282	3598
477	3289	3591
478	3295	3584
479	3302	3578
480	3309	3571
481	3316	3564
482	3325	3559
483	3331	3552
484	3338	3545
485	3345	3538
486	3352	3531
487	3359	3525
488	3366	3518
489	3373	3511
490	3380	3504
491	3388	3498
492	3394	3490
493	3400	3483
494	3407	3476
495	3414	3469
496	3421	3462
497	3427	3455
498	3434	3448
499	3441	3441
500	3447	3434
501	3455	3427
502	3461	3419
503	3468	3413
504	3474	3405
505	3481	3398
506	3487	3391
507	3494	3384
508	3501	3377
509	3507	3370
510	3513	3362
511	3520	3355
512	3528	3349
513	3533	3341
514	3541	3334
515	3547	3327
516	3555	3321
517	3562	3314
518	3569	3307
519	3576	3301
520	3582	3293
521	3589	3286
522	3597	3281
523	3604	3274
524	3612	3268
525	3618	3260
526	3625	3254
527	3633	3248
528	3640	3241
529	3647	3234
530	3653	3226
531	3660	3219
532	3667	3213
533	3673	3205
534	3680	3198
535	3685	3190
536	3692	3183
537	3700	3177
538	3706	3170
539	3713	3162
540	3718	3154
541	3724	3147
542	3730	3139
543	3737	3133
544	3745	3126
545	3751	3119
546	3758	3112
547	3766	3106
548	3772	3099
549	3779	3092
550	3785	3085
551	3792	3078
552	3799	3071
553	3806	3064
554	3812	3057
555	3818	3049
556	3825	3042
557	3831	3035
558	3839	3028
559	3845	3021
560	3852	3015
561	3859	3008
562	3866	3001
563	3873	2994
564	3879	2986
565	3886	2979
566	3893	2973
567	3900	2966
568	3908	2960
569	3914	2953
570	3921	2946
571	3928	2939
572	3935	2932
573	3941	2925
574	3948	2918
575	3954	2911
576	3961	2904
577	3968	2897
578	3975	2890
579	3980	2882
580	3987	2875
581	3993	2868
582	4000	2861
583	4006	2854
584	4012	2846
585	4019	2839
586	4025	2832
587	4032	2825
588	4039	2818
589	4045	2811
590	4052	2804
591	4058	2797
592	4064	2789
593	4071	2782
594	4078	2775
595	4084	2768
596	4090	2761
597	4097	2754
598	4103	2747
599	4111	2740
600	4117	2733
601	4124	2726
602	4131	2720
603	4138	2713
604	4145	2706
605	4151	2699
606	4157	2691
607	4164	2684
608	4171	2678
609	4177	2671
610	4184	2664
611	4191	2657
612	4198	2650
613	4204	2643
614	4211	2636
615	4218	2629
616	4225	2622
617	4231	2615
618	4238	2609
619	4246	2602
620	4253	2595
621	4260	2588
622	4268	2583
623	4277	2577
624	4286	2571
625	4293	2564
626	4299	2557
627	4306	2551
628	4313	2544
629	4321	2537
630	4327	2530
631	4335	2524
632	4342	2517
633	4349	2511
634	4357	2504
635	4364	2497
636	4371	2491
637	4378	2484
638	4385	2477
639	4392	2470
640	4399	2464
641	4406	2457
642	4412	2450
643	4419	2443
644	4426	2436
645	4434	2429
646	4441	2423
647	4448	2416
648	4455	2409
649	4463	2403
650	4470	2396
651	4476	2389
652	4483	2382
653	4490	2375
654	4497	2368
655	4504	2362
656	4511	2355
657	4518	2348
658	4524	2341
659	4531	2334
660	4538	2327
661	4545	2320
662	4551	2313
663	4558	2306
664	4565	2299
665	4571	2292
666	4579	2286
667	4585	2279
668	4592	2272
669	4599	2265
670	4606	2258
671	4613	2251
672	4621	2245
673	4628	2238
674	4634	2231
675	4642	2225
676	4649	2218
677	4657	2211
678	4663	2204
679	4669	2197
680	4676	2190
681	4682	2183
682	4687	2175
683	4694	2169
684	4702	2162
685	4709	2155
686	4716	2148
687	4723	2142
688	4730	2135
689	4737	2128
690	4743	2121
691	4750	2114
692	4755	2106
693	4762	2099
694	4767	2092
695	4774	2085
696	4780	2078
697	4786	2070
698	4792	2063
699	4798	2056
700	4805	2049
701	4811	2042
702	4818	2035
703	4824	2028
704	4831	2021
705	4838	2014
706	4845	2008
707	4852	2001
708	4858	1994
709	4865	1987
710	4872	1980
711	4878	1973
712	4884	1966
713	4890	1958
714	4895	1951
715	4902	1944
716	4909	1937
717	4916	1930
718	4923	1924
719	4929	1917
720	4936	1910
721	4943	1903
722	4952	1897
723	4959	1890
724	4965	1883
725	4972	1876
726	4978	1869
727	4985	1862
728	4990	1855
729	4997	1848
730	5003	1841
731	5008	1833
732	5016	1827
733	5022	1820
734	5028	1813
735	5034	1806
736	5041	1799
737	5049	1792
738	5056	1785
739	5062	1778
740	5069	1771
741	5076	1765
742	5083	1758
743	5090	1751
744	5096	1744
745	5103	1737
746	5110	1730
747	5116	1723
748	5123	1716
749	5129	1709
750	5136	1703
751	5143	1696
752	5148	1688
753	5154	1681
754	5161	1674
755	5168	1668
756	5175	1661
757	5182	1654
758	5188	1647
759	5195	1640
760	5202	1633
761	5208	1626
762	5214	1619
763	5221	1613
764	5227	1605
765	5234	1599
766	5240	1591
767	5245	1584
768	5251	1577
769	5256	1570
770	5263	1563
771	5268	1556
772	5275	1549
773	5282	1542
774	5288	1535
775	5295	1528
776	5303	1521
777	5310	1515
778	5316	1508
779	5323	1501
780	5330	1494
781	5337	1487
782	5344	1481
783	5352	1474
784	5359	1467
785	5365	1460
786	5372	1454
787	5379	1447
788	5386	1440
789	5393	1433
790	5400	1426
791	5406	1420
792	5414	1413
793	5420	1406
794	5427	1399
795	5434	1392
796	5440	1385
797	5447	1378
798	5453	1372
799	5460	1365
800	5466	1358
801	5473	1351
802	5479	1344
803	5486	1337
804	5492	1330
805	5499	1323
806	5506	1316
807	5512	1309
808	5519	1303
809	5525	1296
810	5532	1289
811	5539	1282
812	5546	1275
813	5553	1268
814	5560	1262
815	5567	1255
816	5575	1248
817	5581	1241
818	5588	1235
819	5595	1228
820	5602	1221
821	5609	1214
822	5616	1207
823	5623	1201
824	5630	1194
825	5638	1187
826	5645	1180
827	5652	1174
828	5659	1167
829	5665	1160
830	5672	1153
831	5679	1146
832	5686	1140
833	5692	1133
834	5699	1126
835	5707	1119
836	5713	1112
837	5719	1105
838	5726	1098
839	5732	1091
840	5739	1085
841	5746	1078
842	5753	1071
843	5760	1064
844	5766	1057
845	5774	1051
846	5780	1044
847	5786	1037
848	5793	1030
849	5800	1023
850	5807	1016
851	5813	1009
852	5819	1002
853	5825	995
854	5833	989
855	5841	982
856	5847	975
857	5854	968
858	5860	962
859	5868	955
860	5875	948
861	5882	941
862	5889	934
863	5895	928
864	5902	921
865	5908	914
866	5915	907
867	5921	900
868	5928	893
869	5935	886
870	5941	880
871	5948	873
872	5954	866
873	5961	859
874	5967	852
875	5974	845
876	5981	838
877	5988	832
878	5993	825
879	5999	818
880	6006	811
881	6013	804
882	6019	797
883	6025	790
884	6032	783
885	6040	777
886	6045	770
887	6052	763
888	6059	756
889	6066	749
890	6073	742
891	6079	736
892	6085	729
893	6092	722
894	6098	715
895	6105	708
896	6112	701
897	6119	695
898	6127	688
899	6134	681
900	6141	674
901	6148	668
902	6155	661
903	6162	654
904	6168	647
905	6175	640
906	6182	633
907	6189	627
908	6196	620
909	6203	613
910	6209	606
911	6217	599
912	6224	593
913	6230	586
914	6238	579
915	6244	572
916	6251	565
917	6258	559
918	6266	552
919	6272	545
920	6279	538
921	6286	531
922	6294	525
923	6302	518
924	6310	511
925	6317	504
926	6324	498
927	6331	491
928	6337	484
929	6343	477
930	6350	470
931	6356	463
932	6363	456
933	6369	450
934	6376	443
935	6382	436
936	6389	429
937	6396	422
938	6402	415
939	6408	409
940	6415	402
941	6421	395
942	6428	388
943	6435	381
944	6442	374
945	6449	368
946	6456	361
947	6463	354
948	6469	347
949	6476	340
950	6483	334
951	6490	327
952	6496	320
953	6503	313
954	6510	306
955	6517	299
956	6524	293
957	6533	286
958	6541	279
959	6549	272
960	6557	266
961	6565	259
962	6574	252
963	6582	245
964	6590	239
965	6598	232
966	6606	225
967	6615	218
968	6624	211
969	6633	205
970	6641	198
971	6648	191
972	6655	184
973	6662	177
974	6669	171
975	6676	164
976	6683	157
977	6690	150
978	6697	143
979	6703	136
980	6710	129
981	6717	123
982	6724	116
983	6731	109
984	6738	102
985	6745	95
986	6752	88
987	6759	82
988	6766	75
989	6773	68
990	6779	61
991	6786	54
992	6793	47
993	6799	41
994	6806	34
995	6813	27
996	6820	20
997	6826	13
998	6834	6
999	6841	0
