code,event,finished,finished_provisional,id,kickoff_time,minutes,provisional_start_time,started,team_a,team_a_score,team_h,team_h_score,stats,team_h_difficulty,team_a_difficulty,pulse_id
2444761,30,False,False,291,2025-04-01T18:45:00Z,0,False,False,9,,1,,[],3,4,116117
2444764,30,False,False,295,2025-04-01T18:45:00Z,0,False,False,19,,20,,[],2,2,116121
2444763,30,False,False,294,2025-04-01T19:00:00Z,0,False,False,14,,16,,[],3,4,116120
2444760,30,False,False,292,2025-04-02T18:45:00Z,0,False,False,10,,3,,[],2,3,116118
2444762,30,False,False,293,2025-04-02T18:45:00Z,0,False,False,2,,5,,[],3,3,116119
2444767,30,False,False,298,2025-04-02T18:45:00Z,0,False,False,11,,13,,[],2,4,116124
2444768,30,False,False,299,2025-04-02T18:45:00Z,0,False,False,4,,15,,[],2,4,116125
2444769,30,False,False,300,2025-04-02T18:45:00Z,0,False,False,7,,17,,[],3,2,116126
2444766,30,False,False,297,2025-04-02T19:00:00Z,0,False,False,8,,12,,[],2,5,116123
2444765,30,False,False,296,2025-04-03T19:00:00Z,0,False,False,18,,6,,[],3,4,116122
2444773,31,False,False,304,2025-04-05T11:30:00Z,0,False,False,1,,8,,[],4,3,116130
2444772,31,False,False,303,2025-04-05T14:00:00Z,0,False,False,5,,7,,[],3,3,116129
2444775,31,False,False,306,2025-04-05T14:00:00Z,0,False,False,20,,10,,[],2,2,116132
2444779,31,False,False,310,2025-04-05T14:00:00Z,0,False,False,3,,19,,[],3,2,116136
2444770,31,False,False,301,2025-04-05T16:30:00Z,0,False,False,16,,2,,[],3,3,116127
2444771,31,False,False,302,2025-04-06T13:00:00Z,0,False,False,6,,4,,[],4,3,116128
2444774,31,False,False,305,2025-04-06T13:00:00Z,0,False,False,12,,9,,[],5,3,116131
2444778,31,False,False,309,2025-04-06T13:00:00Z,0,False,False,17,,18,,[],2,3,116135
2444777,31,False,False,308,2025-04-06T15:30:00Z,0,False,False,13,,14,,[],4,3,116134
2444776,31,False,False,307,2025-04-07T19:00:00Z,0,False,False,15,,11,,[],3,2,116133
2444785,32,False,False,316,2025-04-12T11:30:00Z,0,False,False,7,,13,,[],3,4,116142
2444782,32,False,False,313,2025-04-12T14:00:00Z,0,False,False,11,,5,,[],2,3,116139
2444787,32,False,False,318,2025-04-12T14:00:00Z,0,False,False,8,,16,,[],2,4,116144
2444788,32,False,False,319,2025-04-12T14:00:00Z,0,False,False,2,,17,,[],3,2,116145
2444781,32,False,False,311,2025-04-12T16:30:00Z,0,False,False,4,,1,,[],2,4,116137
2444783,32,False,False,314,2025-04-13T13:00:00Z,0,False,False,10,,6,,[],2,4,116140
2444784,32,False,False,315,2025-04-13T13:00:00Z,0,False,False,19,,12,,[],2,5,116141
2444789,32,False,False,320,2025-04-13T13:00:00Z,0,False,False,18,,20,,[],3,2,116146
2444786,32,False,False,317,2025-04-13T15:30:00Z,0,False,False,14,,15,,[],3,4,116143
2444780,32,False,False,312,2025-04-14T19:00:00Z,0,False,False,9,,3,,[],3,3,116138
2444758,32,False,False,289,2025-04-16T18:30:00Z,0,False,False,7,,15,,[],3,4,116115
2444791,33,False,False,322,2025-04-19T14:00:00Z,0,False,False,5,,4,,[],3,3,116148
2444792,33,False,False,323,2025-04-19T14:00:00Z,0,False,False,3,,7,,[],3,3,116149
2444793,33,False,False,324,2025-04-19T14:00:00Z,0,False,False,13,,8,,[],4,3,116150
2444799,33,False,False,330,2025-04-19T14:00:00Z,0,False,False,17,,19,,[],2,2,116156
2444790,33,False,False,321,2025-04-19T16:30:00Z,0,False,False,15,,2,,[],3,3,116147
2444794,33,False,False,325,2025-04-20T13:00:00Z,0,False,False,6,,9,,[],4,3,116151
2444795,33,False,False,326,2025-04-20T13:00:00Z,0,False,False,1,,10,,[],4,2,116152
2444797,33,False,False,328,2025-04-20T13:00:00Z,0,False,False,20,,14,,[],2,3,116154
2444796,33,False,False,327,2025-04-20T15:30:00Z,0,False,False,12,,11,,[],5,2,116153
2444798,33,False,False,329,2025-04-21T19:00:00Z,0,False,False,16,,18,,[],3,3,116155
2444803,34,False,False,334,2025-04-26T11:30:00Z,0,False,False,8,,6,,[],2,4,116160
2444802,34,False,False,333,2025-04-26T14:00:00Z,0,False,False,19,,5,,[],2,3,116159
2444806,34,False,False,337,2025-04-26T14:00:00Z,0,False,False,10,,15,,[],2,4,116163
2444807,34,False,False,338,2025-04-26T14:00:00Z,0,False,False,4,,16,,[],2,4,116164
